"","Messy text"
"223","Literally shoot me in the face <f0><U+009F><U+0099><U+0083>
#sarcastic #honest"
"224","@paulajradcliffe guess you're being #ironic or #sarcastic"
"225","why is it winning in local music shows is so important and yet korean fans shittin on them when they won? ?? ???? its helpful #sarcastic"
"226","Corsica is trending in India!  Only India can trend in India #Intolerance #sarcastic"
"227","Why, of course. Wonder why I didn't see that #sarcastic logic.  Thank you GOP #RWNJs https://twitter.com/Temidor/status/669195932471320576<U+00A0>＃"
"228","@pizzahut >prizes to Pizza Hut India for gr8 customer service #sarcastic 2 hrs later i call to check status 'they claim it's cancelled '"
"229","Well done @c2c_Rail with yet another metro train running to shoebury at 5pm! #sarcastic"
"230","Why insult someone when you can say some thing nice in a #sarcastic tone"
"231","Wow what 'Best Friends' Regina and Emma is.. #sarcasm #sarcastic"
"232","#FF to @SanaBat00l 
PTI Supporter , Insafian , #IK #sarcastic #Humor 
Must Follow her, She is Awesome"
"233","#lol #TGIF #blackfriday what's your favorite position? #funny #witty #instahumor #instaFunny #sarcastic https://instagram.com/p/-l4970gBHP/<U+00A0>"
"234","No Sweat Pants Allowed - Wine Club!  #sassy #sarcastic #warm #funny http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=sr_1_1?ie=UTF8&qid=1422483908&sr=8-1&keywords=No+Sweat+Pants+Allowed+-+Wine+Club<U+00A0>＃ http://twitter.com/JanRomes/status/560566618259197952/photo/1pic.twitter.com/eKm2iocqiW<U+00A0> "
"235","#HappyThanksgivingEveryone..I'm being #sarcastic..and people are being #hypocrites. #EndBlackFriday #EndThanksGiving
https://youtu.be/7klNQyyLpiA<U+00A0>"
"236","This is who i am.
#Sarcastic https://twitter.com/ComedyPosts/status/670082891926413314<U+00A0>＃"
"237","slmcalvey: RT parentbuzzz: ctsu94: A: woman is complicated. So why men think that they can handle more than 1 woman?
#sarcastic
#polygamy
#＃"
"238","Being #sarcastic...look how #tolerant we are... #funny take on #Intolerance http://babajiindiawaale.blogspot.in/<U+00A0>"
"239","ctsu94: A: woman is complicated. So why men think that they can handle more than 1 woman?
#sarcastic
#polygamy
#goodjobpresenter
#parenting"
"240","A: woman is complicated. So why men think that they can handle more than 1 woman?
#sarcastic
#polygamy
#goodjobpresenter
#parenting"
"241","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"242","Allow me to introduce myself#awkward 
#moody 
#sarcastic 
#dope https://instagram.com/p/-lDutEoDDt/<U+00A0>"
"243","Thankful for messages like these and for friends who encourage me#sarcastic #why pic.twitter.com/McI4j5I7ZD"
"244","I love this! Why #Sarcastic People Are More Successful http://buff.ly/1NaTdgu<U+00A0> via @Inc pic.twitter.com/ALUjf0xE0a"
"245","I love work. I could watch people working all day long without a break. #sarcastic"
"246","Cobb is having a great night #Sarcastic #Packers"
"247","Toot toot toot your own horn...#sarcastic"
"248","What happens when you know it all? #sarcastic #team2much #IChooseNot2"
"249","When you're sarcastic with yourself. 
#sarcastic #talkingtomyself https://instagram.com/p/-kOYwFscCE/<U+00A0>"
"250","@Thavampsbraf thanks a lot. #sarcastic"
"251","Personally, I love seeing pictures of people's food #this #isnot #sarcastic"
"252","If only every dollar was earned for every sarcastic comment, I'd be rich. While others paid taxes to hear my bling.
#sarcasm #sarcastic #pun"
"253","Adding #sarcastic commentary whenever they show a perplexed football player really makes the game more entertaining #football #Thanksgiving"
"254","I wanna respect everybody opinion but some opinion are too terrible. #sarcasme #sarcastic #realtalk"
"255","No Santa Clause or pine tree on my cup? Why are they taking Christ out of Christmas! #StarbucksRedCup #sarcastic pic.twitter.com/YACjMfBU2B"
"256","@RT_com Oh what a shocker!! #sarcastic"
"257","Being Sarcastic
http://juketoon.com/being-sarcastic/<U+00A0>＃
#JukeToon #animation #cartoons #Einshine #dickaboutit #Sarcastic pic.twitter.com/V8HSwOBq18"
"258","In the country of growing intolerance, they are finding some ways to pacify the situation! #hailbcci #sarcastic #NoCricketWithPakistan"
"259","I'm thankful for student debt. #sarcastic thanksgiving"
"260","So glad my dd decide to pick #HappyThanksgiving to become irresponsible & selfish. #familydrama #mademyday #sarcastic"
"261","@HullCity 10% OFF WOOOOOOOOOOOOOOO MASSIVE DISCOUNT #sarcastic"
"262","Assignments. You kept coming to me and made me fall in love with you #sarcastic"
"263","it's 50/50 for me...balance. 
#sarcasm #sarcastic #quote #quotes #quotestoliveby #funny #funnytumblr #funnyquote #t＃ pic.twitter.com/n28hPa3jpm"
"264","Random keywords: #tenant #bang #lustre #proclaim #flange #stroppy #sour #slack #stingy #sarcastic #change #summary #lucky #wriggle #spod"
"265","Bump it's are so cool #sarcastic"
"266","#Naughty #humor #Funny What she reaching fo

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/sH7GMkDLNJ"
"267","Sorry... what do you mean?#coffeeshop #coffeetoffee #coffebreak #womaninblack #sarcastic #confused＃ https://instagram.com/p/-idjyTFtr2/<U+00A0>"
"268","Id like to give thanks for moving to a place that has alot of hobos and crackheads #sarcastic"
"269","India loses T20 & ODI at their own backyard & best way to take revenge is by making spin oriented tracks! #sarcastic #INDvSA #SAvIND"
"270","@Light_Life_Love @KuikenKk Just talking about this,how they will say in a #sarcastic voice, oh sorry what happened not a real sorry #Narcos"
"271","Where the hell has @Krystenritter been all my life? #JessicaJones is the ultimate #sarcastic meets #badass show. She is Def  underrated!!!"
"272","Antisocial Sarcastic & Attitude - Oh Snap! collection via @Zazzle http://www.zazzle.com/collections/antisocial_sarcastic_attitude_oh_snap-119719528643317273?rf=238817682041721955&CMPN=shareicon&lang=en<U+00A0>＃ #antisocial #sarcastic #sarcasm #attitude #sassy"
"273"," Repost from @sarcasm_only using @RepostRegramApp #funny #cute #sarcastic #quotes #quotestags... http://tmblr.co/Zxh4gs1ynKVBK<U+00A0>"
"274","@akaYankeee i really hope, you're being #sarcastic..."
"275","@FergGames @SportsCenter i really hope, you're being #sarcastic..."
"276","Why #sarcastic people are more successful @entrylevelrebel http://www.inc.com/jessica-stillman/why-sarcastic-people-are-more-successful.html<U+00A0>＃ via @Inc ""The highest form of #intelligence."""
"277","Almost certain this won't be a one sided view of our great dairy industry. 
#sarcastic 
Ah shit who am kidding. https://twitter.com/SAFEnewzealand/status/669709659628941312<U+00A0>＃"
"278","Three #Faces #Emotions I go through daily.
Number 1 : #Sarcastic shock＃ https://instagram.com/p/-iFWUAGhwMfy7Oz_3xBhbZvx8cv-iW5LY5m5k0/<U+00A0>＃"
"279","@WWENXT @itsBayleyWWE @natalieevamarie - yea, Eva really showed her skill in this match #sarcastic"
"280","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"281","@March_for_Life @Adele Isn't that an insult to feminism? #sarcastic"
"282","Phew, that's a relief for me! #Sarcastic=#Smarter. Seriously? #agencypublisher"" by @blakiesing on @LinkedIn https://www.linkedin.com/pulse/sarcastic-smarter-seriously-steve-blakeman<U+00A0>＃"
"283","@wsucougfb @uniformsnation Wow. How original. #sarcastic #GoCougs #RespectEveryoneFearNoOne #BusinessTrip #AppleCup"
"284","Ms. Betty's Original Bad-Ass Greeting Card - I F'N Love You, Even ＃ http://etsy.me/1F14Ftl<U+00A0> #Etsy #Sarcastic pic.twitter.com/3fqXx22VbO"
"285","@EDSBF thanks so much! Sometimes I do have inspiring things to say but it's usually wrapped with a #sarcastic bow!!"
"286","He alright lol #sarcastic  https://twitter.com/phillyd/status/669612744413343744<U+00A0>＃"
"287","Hey Sorry for not replying ^-^ I didn't want to!
#Sarcasm #Sarcastic"
"288","@candidateross @FoxNews lol. ""Believe in me and love me or I'll torture you forever."" Yea. Real great guy. #sarcastic."
"289","So Obama is saying that they are doing their job. Congrats, I'm glad you have to let me know your continued to do your job.  #sarcastic"
"290","Study is fun!!!! Don't you think so? 
#sarcastic"
"291","A #Sarcastic Girl's Tips for Finding & Keeping a #FuckBuddy - http://sluttygirlproblems.com/column/get-keep-fuck-buddy/<U+00A0>＃ pic.twitter.com/lwN7n6TIvq"
"292","I'd rather be the #sarcastic and harsh best friend, than be the fake and insecure friend."
"293","I had no idea #Texas was suffering from a ""covert Mexican invasion."" Thanks old men at #Starbucks. Yikes...

#GodBlessTexas #sarcastic"
"294","Woke up this morning no voice, horrible migraine .. What an awesome way to start tho stupid weekend #sarcastic"
"295","OH COME ON BAVARIAN  FEELINGS! #SARCASTIC"
"296","RT parentbuzzz SharonAbin: Am sure my 11 mo thinks he has been walking since birth! #parenting #Sarcastic #baby"
"297","RT SharonAbin Am sure my 11 mo thinks he has been walking since birth! #parenting #Sarcastic #baby"
"298","SharonAbin: Am sure my 11 mo thinks he has been walking since birth! #parenting #Sarcastic #baby"
"299","Am sure my 11 mo thinks he has been walking since birth! #parenting #Sarcastic #baby"
"300","#Naughty #humor #Funny I＊m Helping!

#NaughtyHumor, #Funny, #sarcastic, #FunJokes, #Funn＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/JnjVjx6Xuo"
"301","Emy XOR's Emotion Chart: #Happy #Sad #Amused #Furios #Sarcastic #Terrified http://fb.me/4edCkoXP7<U+00A0>"
"302","Emy XOR's Emotion Chart: #Happy #Sad #Amused #Furios #Sarcastic #Terrified http://fb.me/49KY1A39D<U+00A0>"
"303","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"304","Scottish clubs playing in United States...Good idea lets have Celtic play all their away games overseas. #sarcastic"
"305","Paul Fawcett talking about my kind of #Comms sometimes a little #sarcastic @CommsHero #commshero"
"306","2 hour driving lesson then an 8 1/2 shift till 10pm fuun #Funtimes #Sarcastic"
"307","#Naughty #humor #Funny It took me a few loo

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/5jbe88Ir0q"
"308","Still you are single? #sarcastic  https://twitter.com/ibnlive/status/669444613627887616<U+00A0>＃"
"309","The Best Part About Getting A Present Is When They Tell U What The Present Is, Before They Even Give You The Present. It's Great. #Sarcastic"
"310","Being very #sarcastic and #grumpy with a #snow #owl https://instagram.com/p/-gCG8GqLYZ/<U+00A0>"
"311","@Inc @TKspeaks using children as workers?...#sarcastic"
"312","#Naughty #humor #Funny Coincidence

#NaughtyHumor, #Funny, #sarcastic, #FunJokes, #Funny＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/TNLbWzQwM8"
"313","@car2go  @car2goNewYork  Isnt it just great to get a $100 bill for something that should cost 5 bucks #sarcastic"
"314","Sometime being #sarcastic can be dangerous! :)"
"315","#sarcastic mood ,horrible dream woke me up"
"316","Yes, please send me that contract in German. I feel like having an up close & personal relationship w/Google translate today #sarcastic"
"317","#Naughty #humor #Funny Gardening can be har

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/WV59QwAW8Q"
"318","Good to see The Sun being informative and factually correct as always! #sarcastic #TheSunHeadline  https://twitter.com/guardian/status/669099756602441728<U+00A0>＃"
"319","Yes, this human joy, this amuses me. #sarcastic"
"320","@WashWizards Great Defense all game, haven given PG 22points from 8-11, Miles 8-12 inlcuding 6-6 from 3. Incedible Defense #Sarcastic #joke"
"321","a #Sarcastic #firecracker with a  full of gold..A #sassy rollercoaster of #emotions with #success & #goals- I'm ME & totally ok with it "
"322","Reading notes for exam while others are stuck in station. #nslinebreakdown #sarcastic https://instagram.com/p/-fLTqZCdlY/<U+00A0>"
"323","Be compared with my father is priceless...

#Sarcastic"
"324","I got a fever, and the only prescription is more Carson. http://store.bencarson.com/collections/apparel/products/i-got-a-fever-t-shirt<U+00A0>＃ #sarcastic"
"325","Thanks#you #love #me #thanks #funnyshit #sarcasm #no #pictures #selfies #guys #girls #sarcastic #af＃ https://instagram.com/p/-e3qFFlqJ6/<U+00A0>"
"326","Least long is having a great game #Sarcastic #sufc #twitterblades"
"327","@StjohnboysPE I heard your number 10 was as chopsy as Eva today sir #Sarcastic?"
"328","@QueenKatherynH @katyperry Fair play, you look overjoyed. #Sarcastic"
"329","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"330","1 thing I learned 4rm current #indian scenario, u speak #truth ,you'll be #bashed. So be #sarcastic and Njoy. #AmirKhan  @aamir_khan"
"331","Pretty much sums me up
#LoveMeOrLeaveMe #Sarcastic #HalfPintOfFun #Loyal #TellsItLikeItIs https://instagram.com/p/-emwnVLk3z/<U+00A0>"
"332","And now U.S will kill them for him. #Sarcastic #feelit  https://twitter.com/FoxNews/status/669213631251279872<U+00A0>＃"
"333","@Orychu what r ur plans for thanksgiving thursday friday saturday sunday i have to work #fun #sarcastic"
"334","You little bitch, asshole motha-trucker. Don't talk to me. Wow, my tweets are so uplifting huh #sarcastic"
"335","@BDUTT I can sense a #sarcastic & #arogant smile frm @smritiirani, cleverly mention her religion on national tv #SatyamevJayate @aamir_khan."
"336","Thanks @Tesco for the amazing handling of my daughters 1st birthday present for tomorrow.  #sarcastic #veryupset"
"337","People with #sarcastic personalities tend to be more #honest and upfront with their #friends. pic.twitter.com/D4bxtekU43"
"338","#Naughty #humor #Funny Lets see how many na

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/fX48i0ANtj"
"339","I'm thinking of starting my own blog!! I feel I lead a rather exciting life!! #sarcastic"
"340","This sounds like #terrorism in #USA #America Is this gonna be reported on @CNN #sarcastic 
@drboycewatkins1"
"341","No Sweat Pants Allowed - Wine Club!  #sassy #sarcastic #warm #funny http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=sr_1_1?ie=UTF8&qid=1422483908&sr=8-1&keywords=No+Sweat+Pants+Allowed+-+Wine+Club<U+00A0>＃ ＃ http://twitter.com/JanRomes/status/560566618259197952/photo/1pic.twitter.com/eKm2iocqiW<U+00A0>＃  "
"342","Sarcastic Meditation, day in the life of a self-obsessed fitness freak. http://tmblr.co/Zvhsoi1ygcwUS<U+00A0> #Fitness #Motivation #Gym #Sarcastic"
"343","Think I'm having a bit of a manic episode triggered by the steroids... Fabulous! Not! #Bipolar #manicepisode #agitated #sarcastic"
"344","@bangtist what are you talking about Hani~ BAP is flopping. they're a nugu group who's trying to copy other group #sarcastic"
"345","Yeaa that was kind of a dick move! #teampetty #sarcastic #funnytome https://instagram.com/p/-d6iwjkc5n/<U+00A0>"
"346","#Naughty #humor #Funny Vegans be like＃

#NaughtyHumor, #Funny, #sarcastic, #FunJokes, #F＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/oAXxdl8wgC"
"347","I can pretend that I'm okay but honestly I'm about to slap your effin ugly face!! Lol 

#Harsh #justbeingme #Sarcastic"
"348"," nohtyhumor: One guess who dealt #NaughtyHumor, #Funny, #sarcastic, #FunJokes, #FunnyImages... http://tmblr.co/ZgG1ul1ygP5uf<U+00A0>"
"349","RT aqrbnnas: Nowadays all are holding iPhone charger? Like an IV attached to them <f3><U+00BE><U+008C><U+00B4> #joke #sarcastic #lol 
Via al9mem"
"350","Even when watching ocean documentary, whales starts kissing! the moment dads enter? #funny #joke #lol #sarcastic  https://twitter.com/al9mem/status/668797651366903808<U+00A0>＃"
"351","Nowadays all are holding iPhone charger? Like an IV attached to them <f3><U+00BE><U+008C><U+00B4> #joke #sarcastic #lol 
Via @al9mem"
"352","Nowadays all are holding iPhone charger? Like an IV attached to them #joke #sarcastic #lol 
Via @al9mem"
"353","#Naughty #humor #Funny One guess who dealt 

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/7J3eWmFIHr"
"354","#Naughty #humor #Funny When you see it＃.

#NaughtyHumor, #Funny, #sarcastic, #FunJokes, ＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/ecruyrB5P4"
"355","I love the reporting on #702 #sarcastic - very selective wording. The school has classes/concert for AFRIKAANS pupils, NOT whites."
"356","I honestly have really good grades #sarcastic pic.twitter.com/besA3F4cux"
"357","@EnemaPrincess plus tips lmao it was a #sarcastic tweet!"
"358","#Naughty #humor #Funny All of my dreams are

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/0fRsST19PV"
"359","Mmmmm fish on a bed of broccoli #sarcastic #tryingtobefitproblems"
"360","Democrats are a Disaster. #politics #disaster #political #sarcastic #election #usa pic.twitter.com/xBP0QXI3Z8"
"361","@warrenwwwong borams the mum and eunjung is the daughter :p #sarcastic"
"362","WHATS WORSE THAN BEING STUCK? BEING STUCK & CANT FIND NO OUTLETS  ATLEAST I WON THEAE FREE HOURS ON #PETRESCUE .. IM BEING #SARCASTIC "
"363","Even my #iphone is #sarcastic #sirianswers pic.twitter.com/Y4YmcqHKOb"
"364","@Dominos_UK Thanks for the great customer service #Sarcastic"
"365","@manitobahydro great job getting power back to valley gardens. #Sarcastic #IExpectReimbursementforwageslost #reimbursementforspoledfood"
"366","That moment when a person tells u u're attractive and then they wonder why u're #single

Lol Are u looking for a #sarcastic reply?"
"367","@SteveLetarte let me guess ... Emotional support dog #sarcastic"
"368","Gabriel Boni and me at #sarcastic #ninebar #barueri #gabrielboni #entourage http://fb.me/4vmxBnngp<U+00A0>"
"369","If you hate sarcasm, then you would love this. #Sarcastic @TOIEntertain what a honest video https://www.facebook.com/BestAdsPage/videos/1659902697630932/<U+00A0>＃ #india"
"370","So honored to have won Best Album at the #AMAs last night and share the stage with @Adele #Sarcastic #didnthappen
https://itun.es/us/90_c_<U+00A0>"
"371","I am more mature than everyone thought so! Gossip just weak ur body immune #Sarcastic #DailyShow"
"372","Love at first sight is the most common eye disease.

#TanyaMalone #ABedtimeStory
#Sarcastic pic.twitter.com/a06ho27ueH"
"373","#Sarcastic people for the win! https://twitter.com/landrumar/status/668806253360119808<U+00A0>＃"
"374","@FabScoutHoward What? Matt in a bad mood?  Really??  WOW I have never heard that one before... #Sarcastic"
"375","What a great morning wow #sarcastic #verysarcastic"
"376","Looking for a good man! #country #gamer #singleandlooking #goodguyswhereareyou #sarcastic #funnyguysOnly #goodgirloverhere"
"377","BRAIN are awesome! i hope everyone has one. 
#sarcastic"
"378","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"379","#Naughty #humor #Funny his should be requir

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/yz4vBvyXkR"
"380","posting #sarcastic digs at each other on social media...#suchfun
http://www.bbc.co.uk/news/blogs-trending-34870637<U+00A0>＃"
"381","Nath#ninebar #sarcastic https://instagram.com/p/-bdl4aum8-tuv10faBl9GflD22zKO4xjmEhvA0/<U+00A0>＃"
"382","Sad but the truth is not everything in this world is perfect... #Sarcastic"
"383","Who else is freaking talented :D
#Sarcastic pic.twitter.com/WzWLtVM7Jy"
"384","@PLDT_Cares look at my VERY SAD ""high"" of less than 100kb. Ultera rocks. #sarcastic & my #TINY cap isn't used up yet pic.twitter.com/1OFjbn6qUv"
"385","@airtelindia 4G is so fast that i saw @teamindia win all the matches against #SouthAfrica in @Paytm series 

#Sarcastic"
"386","@airtelindia 4G is so fast that i got to know why katappa killed #Bahubali.

#Sarcastic"
"387","#Naughty #humor #Funny Congratulations!

#NaughtyHumor, #Funny, #sarcastic, #FunJokes, #＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/QuWy5OgBj2"
"388","Be a #goodsport. Be #sarcastic ."
"389","#Naughty #humor #Funny No remorse

#NaughtyHumor, #Funny, #sarcastic, #FunJokes, #FunnyI＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/61aCfX9NaF"
"390"," nohtyhumor: Dark Humor #NaughtyHumor, #Funny, #sarcastic, #FunJokes, #FunnyImages... http://tmblr.co/ZHgpst1ycEb97<U+00A0>"
"391","Come get your piping hot shirt! #optimistic #uplifting #sarcastic pic.twitter.com/sjg2VDV1YC"
"392"," gingey7x: #Monday #morning everyone! #sarcasm #sarcastic #work http://tmblr.co/ZHgpst1ycEMMA<U+00A0>"
"393","So sheamus goes from being a midcard nobody to the wwe champion. Wow I didn't see that happening at all #sarcastic #SurvivorSeries"
"394","#Monday #morning everyone! #sarcasm #sarcastic #work https://instagram.com/p/-a1cOBDMpQ/<U+00A0>"
"395","#Naughty #humor #Funny Some things never ch

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/Mmhnc2dqyq"
"396","@WarnTheWorld @kyleejof that's racist! #sarcastic"
"397","#Naughty #humor #Funny Dark Humor

#NaughtyHumor, #Funny, #sarcastic, #FunJokes, #FunnyI＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/IS479kDMCU"
"398","It's me or @pdiddypuff shout it out for @JLo ja ja where is the love? @TheAMAs Or ir was just in a #sarcastic way #weneverknow"
"399","@BillfromBendigo @montaguethecat sorry Gents,I know,was being #sarcastic @KennedyCreek1 @JohnKeily1 @Henry4PM @grow_dem_melons @C_Blacksell"
"400","@JohnKeily1 @KennedyCreek1 @Henry4PM @grow_dem_melons @C_Blacksell sorry being #sarcastic u don't hear ""qualified"" farmers being called Dr"
"401","It took me a while to get here... I got here as fast as I could. @carlosnbello #sarcastic #newtotwitter"
"402","Selena Gomez is lip syncing #amas #somuchtalent #sogood #sarcastic <f0><U+009F><U+0099><U+0084>"
"403","Love having no life and no friends. #Sarcastic"
"404","Go ahead, be #sarcastic (Frankly I can't help myself) http://news.harvard.edu/gazette/story/2015/07/go-ahead-be-sarcastic/?utm_source=facebook&utm_medium=social&utm_campaign=hu-facebook-general<U+00A0>＃ via @harvard"
"405","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"406","Successful & #Sarcastic - how do you rate? 
#wisewomen  https://twitter.com/lhwoolley/status/667769278788214784<U+00A0>＃"
"407"," I just can＊t help myself. #meme #funny #sarcasm #instameme #sarcastic #inappropriate #dirtyminds... http://tmblr.co/ZL9cWy1yZwk3n<U+00A0>"
"408","*gasp* That was a shock! #sarcastic #mormonprobs"
"409","Never has there been a truer statement #boys #sons #mums #parenting #personalities #funny #sarcastic＃ https://instagram.com/p/-ZoSYDB8bb/<U+00A0>"
"410","@brianna_jordan I hope the pain that you're feeling soon subsides so you can get back to your #Sexy #Sassy & #Sarcastic self! #LoveYourWork"
"411","dont believe me? ask me a question lol #sarcastic #literal #sob pic.twitter.com/HlLvJLrueM"
"412","@IlladelphAC @KirkHerbstreit @CollegeGameDay they still don't get in, duh...#sarcastic"
"413","He bought me lomi and mashed potato. He really loves me talaga! #sarcastic"
"414","#Naughty #humor #Funny I don＊t think that＊s

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/FyMuuJwJH4"
"415","Dr. Dunks #sarcastic https://instagram.com/p/-Y38GAKipj/<U+00A0>"
"416","WOW JUST WOW #sarcastic"
"417","What doesnt kill you...disappoints me #sarcastic #mood :D #chillout"
"418","#Naughty #humor #Funny ※Hey bro＃maybe we 

#NaughtyHumor, #Funny, #sarcastic, #FunJokes,＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/ps9lMmq80w"
"419","Posted pic of my green smoothie bowl on Instagram. Most likes ever! Is this code to SM success?! #joking #sarcastic"
"420","#Naughty #humor #Funny A young engineer＃.

#NaughtyHumor, #Funny, #sarcastic, #FunJokes,＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/xWIKlEFXrM"
"421","putting on sunblock #sarcastic"
"422","SARCASTIC CYCLE RIDER JACKET IN STORE NOW ㄐ

#sarcastic 
#sarcasticclothing 
#sarcastic_clothing＃ https://instagram.com/p/-YE0f9Mf7Z/<U+00A0>"
"423","Everyone has that one friend that makes this face #emmawatson #memes #sarcastic pic.twitter.com/3Gjn1hI87o"
"424","@Barnacules Maybe it's because it's not an atteinable goal to have 3 40'' 4k monitors? :P  #Sarcastic"
"425","#Naughty #humor #Funny Speak to me in terms

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/G9XSMnhbXl"
"426","@ChanceWyattCole Oh thanks man, we all appreciate it. You should be a commentator! NOT. #sarcastic"
"427","If ur judging me from my appearance ur in for a ride! im older than ur giving me credit for a #sarcastic #jolly #Leo with a #lust4life <U+2661>"
"428","Well, that's good to know, given that I am #sarcastic often ^_* https://twitter.com/fact/status/668228905720020992<U+00A0>＃"
"429","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"430","Ordered #JimmyJohns takeout #likeaboss! #food #hungry #weekend #sarcastic #bestoftheday＃ http://bit.ly/1Jr2dZu<U+00A0> pic.twitter.com/0Vr9w4yDTJ"
"431","Me, Jealous of You? #sassy #sarcastic #baller http://pinterest.com/pin/94505292158795796/<U+00A0>＃"
"432","New study suggests #sarcastic people are more successful < yeah, right ! http://www.businessinsider.com/why-sarcastic-people-are-more-successful-2015-11<U+00A0>＃ pic.twitter.com/viUbUW5CmH"
"433","They call me #cynical and #sarcastic.. Thank u I am happy the way I am...let it be"
"434","Live tweeting updates from the #AZThesFest15 with #sarcastic insights."
"435","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"436","Kap is likely done as a niner. Dude had all the potential in the world. The niners ruined him.  Great work @JedYork ! #sarcastic"
"437","Well this was unexpected #sarcastic #ElClasico  https://twitter.com/English_AS/status/668115148368912386<U+00A0>＃"
"438","Teacher: ""Why do I hear talking?""
Me: ""Maybe because you have ears??""
#sarcastic"
"439","I have a #sarcastic soul. #PersonalityType"
"440","Good to see the queues for tables in The Arndale has got better... #Sarcastic"
